n_days,date,stock_reward_rate,index_reward_rate
0,2024-06-14,0.0,0.0
1,2024-06-17,-0.0006405303275777846,-0.005519961221777875
2,2024-06-18,0.007717820678917483,-0.0007847973541118135
3,2024-06-19,0.024536974785762913,-0.004807708160903219
4,2024-06-20,0.03178460594012014,-0.008965815150545913
5,2024-06-21,0.03861100061917844,-0.011372966698872014
6,2024-06-24,0.041735832848509055,-0.022927294130836995
7,2024-06-25,0.032597400864986914,-0.02724697704632616
8,2024-06-26,0.04096526289910032,-0.019817781925259563
9,2024-06-27,0.04634642263597653,-0.028615426214210173
10,2024-06-28,0.05943962831685009,-0.021509382944836664
11,2024-07-01,0.06865587563300737,-0.012497403244048924
12,2024-07-02,0.07361695274278997,-0.011745580568681272
13,2024-07-03,0.07957675913750072,-0.016569776068956647
14,2024-07-04,0.08018104321649275,-0.02475079386539075
15,2024-07-05,0.06263553177423396,-0.02727005932144715
16,2024-07-08,0.08056915860252363,-0.03633150104035121
17,2024-07-09,0.08676285838556885,-0.024157249647995375
18,2024-07-10,0.07207289428709635,-0.030755482864708184
19,2024-07-11,0.058870423455266774,-0.020523440050385387
20,2024-07-12,0.06358752635044373,-0.020223370473813135
